,pred_3,pred_5,pred_7,pred_12,pred_13,pred_14,pred_21,result_com,year,month,num_date,range_date,season,right_pred
388,,,,,,,,,2012,6,2,6,su,0
389,,,,,,,,,2012,6,2,6,su,0
390,,,,,,,,,2012,6,2,6,su,0
391,,,,,,,,,2012,6,2,6,su,0
392,,,,,,,,,2012,6,2,6,su,0
393,,,,,,,,,2012,6,3,6,su,0
394,,,,,,,,,2012,6,3,6,su,0
395,,,,,,,,,2012,6,3,6,su,0
396,,,,,,,,,2012,6,3,6,su,0
397,,,,,,,,,2012,6,3,6,su,0
398,,,,,,,,,2012,6,3,6,su,0
399,,,,,,,,,2012,6,3,6,su,0
400,,,,,,,,,2012,6,3,6,su,0
401,,,,,,,,,2012,6,3,6,su,0
402,,,,,,,,,2012,6,3,6,su,0
403,,,,,,,,,2012,6,4,6,su,0
404,,,,,,,,,2012,6,4,6,su,0
405,,,,,,,,,2012,6,4,6,su,0
406,,,,,,,,,2012,6,4,6,su,0
407,,,,,,,,,2012,6,4,6,su,0
408,,,,,,,,,2012,6,4,6,su,0
409,,,,,,,,,2012,6,4,6,su,0
410,,,,,,,,,2012,6,4,6,su,0
411,,,,,,,,,2012,6,4,6,su,0
412,,,,,,,,,2012,6,4,6,su,0
413,,,,,,,,,2012,6,4,6,su,0
414,,,,,,,,,2012,6,4,6,su,0
415,,,,,,,,,2012,6,5,6,su,0
416,,,,,,,,,2012,6,5,6,su,0
417,,,,,,,,,2012,6,5,6,su,0
418,,,,,,,,,2012,6,5,6,su,0
419,,,,,,,,,2012,6,5,6,su,0
420,,,,,,,,,2012,6,5,6,su,0
421,,,,,,,,,2012,6,5,6,su,0
422,,,,,,,,,2012,6,5,6,su,0
423,,,,,,,,,2012,6,5,6,su,0
424,,,,,,,,,2012,6,5,6,su,0
425,,,,,,,,,2012,6,5,6,su,0
426,,,,,,,,,2012,6,5,6,su,0
427,,,,,,,,,2012,6,6,6,su,0
428,,,,,,,,,2012,6,6,6,su,0
429,,,,,,,,,2012,6,6,6,su,0
430,,,,,,,,,2012,6,6,6,su,0
431,,,,,,,,,2012,6,6,6,su,0
432,,,,,,,,,2012,6,6,6,su,0
433,,,,,,,,,2012,6,6,6,su,0
434,,,,,,,,,2012,6,6,6,su,0
435,,,,,,,,,2012,6,6,6,su,0
436,,,,,,,,,2012,6,6,6,su,0
437,,,,,,,,,2012,6,6,6,su,0
438,,,,,,,,,2012,6,1,6,su,0
439,,,,,,,,,2012,6,1,6,su,0
440,,,,,,,,,2012,6,1,6,su,0
441,,,,,,,,,2012,6,1,6,su,0
442,,,,,,,,,2012,6,1,6,su,0
443,,,,,,,,,2012,6,1,6,su,0
444,,,,,,,,,2012,6,1,6,su,0
445,,,,,,,,,2012,6,1,6,su,0
446,,,,,,,,,2012,6,1,6,su,0
447,,,,,,,,,2012,6,1,6,su,0
448,,,,,,,,,2012,6,1,6,su,0
449,,,,,,,,,2012,6,2,6,su,0
