,pred_3,pred_4,pred_5,pred_7,pred_13,pred_14,result_com,date,year,month,day,num_date,range_date,season,right_pred
15406,0,0,0,1,1,0,7,2019-05-08,2019,5,8,5,6,sp,1
15407,0,0,0,0,0,0,65,2019-05-08,2019,5,8,5,6,sp,0
15408,0,0,0,0,1,0,5,2019-05-08,2019,5,8,5,6,sp,0
15409,0,0,0,0,0,0,41,2019-05-08,2019,5,8,5,6,sp,0
15410,0,0,0,0,0,0,21,2019-05-08,2019,5,8,5,6,sp,0
15411,0,0,0,0,0,0,1,2019-05-08,2019,5,8,5,6,sp,0
15412,0,0,0,0,0,0,63,2019-05-08,2019,5,8,5,6,sp,0
15413,0,0,0,0,0,0,1,2019-05-08,2019,5,8,5,6,sp,0
15414,0,1,0,0,0,0,3,2019-05-08,2019,5,8,5,6,sp,0
15415,0,0,0,0,0,0,13,2019-05-08,2019,5,8,5,6,sp,0
15416,0,0,0,0,0,0,9,2019-05-09,2019,5,9,6,6,sp,0
15417,0,0,0,0,0,1,69,2019-05-09,2019,5,9,6,6,sp,0
15418,0,0,0,0,0,0,6,2019-05-09,2019,5,9,6,6,sp,0
15419,0,0,0,0,1,0,27,2019-05-09,2019,5,9,6,6,sp,0
15420,0,0,0,0,0,0,51,2019-05-09,2019,5,9,6,6,sp,0
15421,0,0,0,0,0,0,28,2019-05-09,2019,5,9,6,6,sp,0
15422,0,0,0,0,0,0,61,2019-05-09,2019,5,9,6,6,sp,0
15423,1,0,1,0,0,0,6,2019-05-09,2019,5,9,6,6,sp,0
15424,0,0,0,0,0,0,6,2019-05-09,2019,5,9,6,6,sp,0
15425,0,0,0,0,0,0,5,2019-05-09,2019,5,9,6,6,sp,0
15426,0,0,0,0,0,0,1,2019-05-09,2019,5,9,6,6,sp,0
15427,0,0,0,0,0,0,7,2019-05-16,2019,5,16,1,5,sp,0
15428,0,0,0,0,0,0,5,2019-05-16,2019,5,16,1,5,sp,0
15429,0,0,0,0,0,0,43,2019-05-16,2019,5,16,1,5,sp,0
15430,0,0,0,0,0,0,6,2019-05-16,2019,5,16,1,5,sp,0
15431,1,0,0,0,1,0,3,2019-05-16,2019,5,16,1,5,sp,1
15432,0,0,0,0,0,0,12,2019-05-16,2019,5,16,1,5,sp,0
15433,0,0,0,0,0,0,62,2019-05-16,2019,5,16,1,5,sp,0
15434,0,0,0,0,0,0,21,2019-05-16,2019,5,16,1,5,sp,0
15435,0,0,0,0,0,0,76,2019-05-16,2019,5,16,1,5,sp,0
15436,0,0,0,0,0,0,108,2019-05-16,2019,5,16,1,5,sp,0
15437,1,0,1,0,1,1,92,2019-05-17,2019,5,17,2,5,sp,0
15438,0,0,0,0,0,0,1,2019-05-17,2019,5,17,2,5,sp,0
15439,0,0,0,1,0,1,55,2019-05-17,2019,5,17,2,5,sp,0
15440,0,0,0,0,0,0,67,2019-05-17,2019,5,17,2,5,sp,0
15441,1,1,0,0,1,0,80,2019-05-17,2019,5,17,2,5,sp,0
15442,0,0,0,0,0,0,45,2019-05-17,2019,5,17,2,5,sp,0
15443,0,0,0,0,0,0,25,2019-05-17,2019,5,17,2,5,sp,0
15444,0,0,0,0,0,0,56,2019-05-17,2019,5,17,2,5,sp,0
15445,0,0,0,0,1,0,16,2019-05-17,2019,5,17,2,5,sp,0
15446,0,0,1,0,1,0,1,2019-05-17,2019,5,17,2,5,sp,0
15447,0,0,0,0,1,0,16,2019-05-17,2019,5,17,2,5,sp,0
15448,0,0,0,0,1,0,28,2019-05-17,2019,5,17,2,5,sp,0
15449,0,0,0,0,0,0,19,2019-05-18,2019,5,18,3,5,sp,0
15450,0,0,0,0,0,0,1,2019-05-18,2019,5,18,3,5,sp,0
15451,0,0,0,0,0,0,25,2019-05-18,2019,5,18,3,5,sp,0
15452,0,0,1,0,1,0,1,2019-05-18,2019,5,18,3,5,sp,0
15453,1,0,0,0,0,0,21,2019-05-18,2019,5,18,3,5,sp,0
15454,0,0,0,0,0,0,66,2019-05-18,2019,5,18,3,5,sp,0
15455,0,0,0,0,0,0,89,2019-05-18,2019,5,18,3,5,sp,0
15456,0,0,0,0,1,0,42,2019-05-18,2019,5,18,3,5,sp,0
15457,0,0,0,0,0,0,81,2019-05-18,2019,5,18,3,5,sp,0
15458,0,0,0,0,0,0,8,2019-05-18,2019,5,18,3,5,sp,0
15459,0,0,1,0,1,0,3,2019-05-19,2019,5,19,4,5,sp,0
15460,0,0,0,0,0,0,12,2019-05-19,2019,5,19,4,5,sp,0
15461,0,0,0,0,1,0,42,2019-05-19,2019,5,19,4,5,sp,0
15462,0,0,0,0,0,0,9,2019-05-19,2019,5,19,4,5,sp,0
15463,1,0,1,0,0,0,1,2019-05-19,2019,5,19,4,5,sp,0
15464,0,0,0,0,0,0,39,2019-05-19,2019,5,19,4,5,sp,0
15465,0,0,0,0,0,0,59,2019-05-19,2019,5,19,4,5,sp,0
15466,0,0,1,1,1,0,11,2019-05-19,2019,5,19,4,5,sp,0
15467,0,0,0,0,0,0,7,2019-05-19,2019,5,19,4,5,sp,0
15468,1,1,0,0,1,1,33,2019-05-19,2019,5,19,4,5,sp,0
15469,0,0,0,0,0,0,22,2019-05-19,2019,5,19,4,5,sp,0
15470,0,1,1,0,0,0,20,2019-05-20,2019,5,20,5,5,sp,0
15471,0,0,0,0,0,0,11,2019-05-20,2019,5,20,5,5,sp,0
15472,0,0,0,0,0,0,10,2019-05-20,2019,5,20,5,5,sp,0
15473,0,0,1,0,0,0,5,2019-05-20,2019,5,20,5,5,sp,1
15474,0,0,0,0,0,0,22,2019-05-20,2019,5,20,5,5,sp,0
15475,0,0,0,0,0,0,45,2019-05-20,2019,5,20,5,5,sp,0
15476,0,0,1,0,0,0,18,2019-05-20,2019,5,20,5,5,sp,0
15477,0,0,0,0,1,0,13,2019-05-20,2019,5,20,5,5,sp,1
15478,0,0,0,0,0,0,41,2019-05-20,2019,5,20,5,5,sp,0
15479,0,1,0,0,0,0,1,2019-05-20,2019,5,20,5,5,sp,0
15480,0,0,0,0,1,0,6,2019-05-20,2019,5,20,5,5,sp,0
15481,0,0,1,0,0,0,10,2019-05-25,2019,5,25,1,5,sp,0
15482,0,0,0,0,0,0,65,2019-05-25,2019,5,25,1,5,sp,0
15483,0,0,1,1,0,0,42,2019-05-25,2019,5,25,1,5,sp,0
15484,0,0,1,1,0,0,5,2019-05-25,2019,5,25,1,5,sp,1
15485,1,1,0,0,1,0,27,2019-05-25,2019,5,25,1,5,sp,0
15486,0,0,0,0,0,0,35,2019-05-25,2019,5,25,1,5,sp,0
15487,0,0,0,0,0,0,13,2019-05-25,2019,5,25,1,5,sp,0
15488,0,0,0,0,0,0,26,2019-05-25,2019,5,25,1,5,sp,0
15489,0,0,0,0,0,0,45,2019-05-25,2019,5,25,1,5,sp,0
15490,0,0,0,0,1,0,82,2019-05-25,2019,5,25,1,5,sp,0
15491,0,0,0,0,1,0,13,2019-05-25,2019,5,25,1,5,sp,1
15492,0,0,0,0,0,0,21,2019-05-25,2019,5,25,1,5,sp,0
